@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute myo1-1 numeric
@attribute myo1-2 numeric
@attribute myo1-3 numeric
@attribute myo1-4 numeric
@attribute myo1-5 numeric
@attribute myo1-6 numeric
@attribute myo1-7 numeric
@attribute myo1-8 numeric
@attribute myo1-9 numeric
@attribute myo1-10 numeric
@attribute myo1-11 numeric
@attribute outputs-1 {0,1,2,3}
@attribute outputs-2 numeric

@data
79,'2018/02/25 22:20:02:298',2,-0.400827,-0.242992,0.622555,0.521569,0.478431,0.490196,0.494118,0.486275,0.478431,0.486275,0.494118,?,0
80,'2018/02/25 22:20:02:324',2,-0.402135,-0.243637,0.622053,0.470588,0.490196,0.584314,0.501961,0.494118,0.494118,0.478431,0.490196,?,0
81,'2018/02/25 22:20:02:357',2,-0.403175,-0.244011,0.622729,0.513726,0.521569,0.556863,0.513726,0.501961,0.505882,0.478431,0.498039,?,0
82,'2018/02/25 22:20:02:388',2,-0.404928,-0.244568,0.622675,0.490196,0.478431,0.490196,0.505882,0.486275,0.494118,0.517647,0.494118,?,0
83,'2018/02/25 22:20:02:423',2,-0.405451,-0.244526,0.622759,0.501961,0.52549,0.498039,0.494118,0.47451,0.486275,0.498039,0.501961,?,0
84,'2018/02/25 22:20:02:426',2,-0.405996,-0.244631,0.623396,0.478431,0.423529,0.486275,0.509804,0.505882,0.513726,0.513726,0.498039,?,0
85,'2018/02/25 22:20:02:458',2,-0.406386,-0.244675,0.624001,0.486275,0.498039,0.584314,0.494118,0.478431,0.482353,0.501961,0.486275,?,0
86,'2018/02/25 22:20:02:487',2,-0.406366,-0.244694,0.623865,0.513726,0.529412,0.188235,0.47451,0.486275,0.486275,0.482353,0.490196,?,0
87,'2018/02/25 22:20:02:520',2,-0.406794,-0.244741,0.624634,0.498039,0.52549,0.545098,0.494118,0.509804,0.513726,0.498039,0.498039,?,0
88,'2018/02/25 22:20:02:528',2,-0.407193,-0.244941,0.62501,0.501961,0.501961,0.541176,0.490196,0.498039,0.501961,0.494118,0.490196,?,0
89,'2018/02/25 22:20:02:553',2,-0.407334,-0.245095,0.625472,0.505882,0.494118,0.509804,0.498039,0.513726,0.517647,0.509804,0.509804,?,0
90,'2018/02/25 22:20:02:594',2,-0.407651,-0.24529,0.626102,0.482353,0.423529,0.494118,0.513726,0.505882,0.501961,0.521569,0.498039,?,0
91,'2018/02/25 22:20:02:619',2,-0.407651,-0.24529,0.626102,0.494118,0.576471,0.521569,0.47451,0.498039,0.482353,0.47451,0.482353,?,0
92,'2018/02/25 22:20:02:629',2,-0.407368,-0.245638,0.625349,0.494118,0.494118,0.580392,0.47451,0.47451,0.470588,0.486275,0.501961,?,0
